deployment,worker_count,concurrency,mode,run_index,request_index,prefix_group,status,error,http_status,backend,route_reason,backend_outstanding_at_route,queue_depth_at_route,input_tokens,requested_output_tokens,output_tokens,ttft_seconds,tpot_seconds,e2e_seconds
aws-a10g-4gpu,4,1,sequential,0,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.04616419199987831,0.03419216342519655,4.38856894699984
aws-a10g-4gpu,4,1,sequential,1,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.04537200499999017,0.03419391604724454,4.387999343000047
aws-a10g-4gpu,4,1,sequential,2,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.05022659399992335,0.034156507409448304,4.388103034999858
aws-a10g-4gpu,4,1,sequential,3,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.045604590000039025,0.03419448818897577,4.3883045899999615
aws-a10g-4gpu,4,1,sequential,4,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.04554345800011106,0.03419648815748036,4.388497454000117
aws-a10g-4gpu,4,8,continuous,0,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.05111804300008771,0.0359101257559048,4.611704013999997
aws-a10g-4gpu,4,8,continuous,0,1,1,ok,,200,worker-1,prefix_affinity,1,0,512,128,128,0.051744315000178176,0.035907282464566335,4.611969188000103
aws-a10g-4gpu,4,8,continuous,0,2,2,ok,,200,worker-0,prefix_affinity,3,2,512,128,128,0.09965046299998903,0.03632664196850346,4.7131339929999285
aws-a10g-4gpu,4,8,continuous,0,3,3,ok,,200,worker-0,prefix_affinity,2,1,512,128,128,0.09945304899997609,0.036327072921260084,4.712991310000007
aws-a10g-4gpu,4,8,continuous,0,4,0,ok,,200,worker-2,prefix_affinity,2,1,512,128,128,0.08795556400013993,0.03586512468503917,4.642826399000114
aws-a10g-4gpu,4,8,continuous,0,5,1,ok,,200,worker-1,prefix_affinity,2,1,512,128,128,0.08897097500016571,0.03586071356692907,4.643281598000158
aws-a10g-4gpu,4,8,continuous,0,6,2,ok,,200,worker-3,affinity_overridden_by_load,1,0,512,128,128,0.16135095100003127,0.034198458464567996,4.504555176000167
aws-a10g-4gpu,4,8,continuous,0,7,3,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.054565342999921995,0.03637708614960717,4.674455284000032
aws-a10g-4gpu,4,8,continuous,1,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.05020428499983609,0.03590890548819008,4.610635281999976
aws-a10g-4gpu,4,8,continuous,1,1,1,ok,,200,worker-1,prefix_affinity,1,0,512,128,128,0.05083237700000609,0.03588961013385923,4.608812864000129
aws-a10g-4gpu,4,8,continuous,1,2,2,ok,,200,worker-0,prefix_affinity,3,2,512,128,128,0.10065492400008225,0.036389033157479565,4.722062134999987
aws-a10g-4gpu,4,8,continuous,1,3,3,ok,,200,worker-0,prefix_affinity,2,1,512,128,128,0.09971328400001767,0.036389461125983555,4.721174846999929
aws-a10g-4gpu,4,8,continuous,1,4,0,ok,,200,worker-2,prefix_affinity,2,1,512,128,128,0.08724787000005563,0.03586767803149517,4.642442979999942
aws-a10g-4gpu,4,8,continuous,1,5,1,ok,,200,worker-1,prefix_affinity,2,1,512,128,128,0.1219856489999529,0.035846872023621544,4.674538395999889
aws-a10g-4gpu,4,8,continuous,1,6,2,ok,,200,worker-3,affinity_overridden_by_load,1,0,512,128,128,0.05725343800008886,0.03419791380314936,4.400388491000058
aws-a10g-4gpu,4,8,continuous,1,7,3,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.05553927300002215,0.036437299740157865,4.683076340000071
aws-a10g-4gpu,4,8,continuous,2,0,0,ok,,200,worker-2,prefix_affinity,1,0,512,128,128,0.05013995299987073,0.035908576574804,4.610529177999979
