deployment,worker_count,concurrency,mode,run_index,request_index,prefix_group,status,error,http_status,backend,route_reason,backend_outstanding_at_route,queue_depth_at_route,input_tokens,requested_output_tokens,output_tokens,ttft_seconds,tpot_seconds,e2e_seconds
aws-a10g-1gpu,1,1,sequential,0,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.047167499000124735,0.034186916086613076,4.388905841999986
aws-a10g-1gpu,1,1,sequential,1,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.04695165300017834,0.03418576491338451,4.388543797000011
aws-a10g-1gpu,1,1,sequential,2,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.0474274839998543,0.03418080213385819,4.388389354999845
aws-a10g-1gpu,1,1,sequential,3,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.046786079999947106,0.034189394456692696,4.3888391759999195
aws-a10g-1gpu,1,1,sequential,4,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.04741381300004832,0.034186114070865824,4.389050300000008
aws-a10g-1gpu,1,8,continuous,0,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.05347343100015678,0.037560811677163713,4.823696513999948
aws-a10g-1gpu,1,8,continuous,0,1,1,ok,,200,worker-0,prefix_affinity,2,1,512,128,128,0.10115453200000957,0.03748007581889683,4.861124160999907
aws-a10g-1gpu,1,8,continuous,0,2,2,ok,,200,worker-0,prefix_affinity,6,5,512,128,128,0.10075058300003548,0.0374750083779518,4.860076646999914
aws-a10g-1gpu,1,8,continuous,0,3,3,ok,,200,worker-0,prefix_affinity,5,4,512,128,128,0.14390337800000452,0.037417780700787794,4.895961527000054
aws-a10g-1gpu,1,8,continuous,0,4,0,ok,,200,worker-0,prefix_affinity,3,2,512,128,128,0.1003327129999434,0.03748148458267736,4.860481254999968
aws-a10g-1gpu,1,8,continuous,0,5,1,ok,,200,worker-0,prefix_affinity,8,7,512,128,128,0.14409408200003782,0.037414600700785956,4.895748370999854
aws-a10g-1gpu,1,8,continuous,0,6,2,ok,,200,worker-0,prefix_affinity,7,6,512,128,128,0.14352254899995387,0.0374136359606314,4.895054316000142
aws-a10g-1gpu,1,8,continuous,0,7,3,ok,,200,worker-0,prefix_affinity,4,3,512,128,128,0.09928096899989214,0.037481158433070226,4.859388089999811
aws-a10g-1gpu,1,8,continuous,1,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.054819843000132096,0.03756547867716452,4.825635635000026
aws-a10g-1gpu,1,8,continuous,1,1,1,ok,,200,worker-0,prefix_affinity,2,1,512,128,128,0.10207741299996087,0.03749970852755888,4.8645403959999385
aws-a10g-1gpu,1,8,continuous,1,2,2,ok,,200,worker-0,prefix_affinity,6,5,512,128,128,0.101189561999945,0.03749553914173245,4.863123032999965
aws-a10g-1gpu,1,8,continuous,1,3,3,ok,,200,worker-0,prefix_affinity,5,4,512,128,128,0.1001734789999773,0.037495488196850425,4.862100479999981
aws-a10g-1gpu,1,8,continuous,1,4,0,ok,,200,worker-0,prefix_affinity,3,2,512,128,128,0.10081157399986296,0.037500634685039676,4.863392178999902
aws-a10g-1gpu,1,8,continuous,1,5,1,ok,,200,worker-0,prefix_affinity,8,7,512,128,128,0.14331006500015064,0.037414428102361695,4.894942434000086
aws-a10g-1gpu,1,8,continuous,1,6,2,ok,,200,worker-0,prefix_affinity,7,6,512,128,128,0.14312676100007593,0.03741516433858238,4.894852632000038
aws-a10g-1gpu,1,8,continuous,1,7,3,ok,,200,worker-0,prefix_affinity,4,3,512,128,128,0.09987975199987886,0.037499018440945206,4.86225509399992
aws-a10g-1gpu,1,8,continuous,2,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.05529616600006193,0.03754149082677096,4.823065500999974
aws-a10g-1gpu,1,8,continuous,2,1,1,ok,,200,worker-0,prefix_affinity,2,1,512,128,128,0.10224410299997544,0.03747243317322829,4.861243115999969
aws-a10g-1gpu,1,8,continuous,2,2,2,ok,,200,worker-0,prefix_affinity,6,5,512,128,128,0.14754781099986758,0.03738613591338607,4.895587071999898
aws-a10g-1gpu,1,8,continuous,2,3,3,ok,,200,worker-0,prefix_affinity,5,4,512,128,128,0.10132933199997751,0.03746394274015783,4.859250060000022
aws-a10g-1gpu,1,8,continuous,2,4,0,ok,,200,worker-0,prefix_affinity,3,2,512,128,128,0.10124448999999913,0.037471300700786296,4.860099678999859
aws-a10g-1gpu,1,8,continuous,2,5,1,ok,,200,worker-0,prefix_affinity,8,7,512,128,128,0.1464361060000101,0.037386399070865585,4.894508787999939
aws-a10g-1gpu,1,8,continuous,2,6,2,ok,,200,worker-0,prefix_affinity,7,6,512,128,128,0.14560059700011152,0.03738179991338493,4.893089185999997
aws-a10g-1gpu,1,8,continuous,2,7,3,ok,,200,worker-0,prefix_affinity,4,3,512,128,128,0.10016142500012393,0.03747061824409376,4.858929942000032
aws-a10g-1gpu,1,8,continuous,3,0,0,ok,,200,worker-0,prefix_affinity,1,0,512,128,128,0.055087321999963024,0.037532872141733016,4.821762084000056
aws-a10g-1gpu,1,8,continuous,3,1,1,ok,,200,worker-0,prefix_affinity,2,1,512,128,128,0.1026497829998334,0.037465300582678135,4.860742956999957
aws-a10g-1gpu,1,8,continuous,3,2,2,ok,,200,worker-0,prefix_affinity,6,5,512,128,128,0.14731511599984515,0.03738227545669382,4.89486409899996
aws-a10g-1gpu,1,8,continuous,3,3,3,ok,,200,worker-0,prefix_affinity,5,4,512,128,128,0.10100384499992288,0.03745927729921356,4.858332062000045
aws-a10g-1gpu,1,8,continuous,3,4,0,ok,,200,worker-0,prefix_affinity,3,2,512,128,128,0.1014685659999941,0.03746894129921109,4.860024110999802
